common,main_id,src_id,Gmag,plx,plx_err,d_nom,d_lb,spec,lum,var,brange
N/A,N/A,2202630001603369856,2.451,0.11902,0.26369,27403,8522,N/A,N/A,N/A,N/A
N/A,N/A,5333358794709001216,4.792,0.15369,0.09270,21222,13238,N/A,N/A,N/A,N/A
N/A,N/A,413828761929696256,4.736,0.21417,0.08385,15229,10944,N/A,N/A,N/A,N/A
N/A,N/A,5337891256535666176,3.557,0.22276,0.10044,14642,10092,N/A,N/A,N/A,N/A
N/A,N/A,5336490478704008960,4.724,0.32537,0.07341,10024,8179,N/A,N/A,N/A,N/A
